
Sample-level average across 5 folds - Epoch 50
Overall Results:
Macro-F1: 0.6253
Macro-Precision: 0.6371
Macro-Recall: 0.6240
Accuracy: 0.6530

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6179   0.7308       0.5352     0.6619     3.02
2        0.4496   0.5000       0.4085     0.6635     3.00
3        0.4496   0.5000       0.4085     0.6758     3.05
4        0.5484   0.6415       0.4789     0.7443     3.11
5        0.5455   0.5902       0.5070     0.7260     3.83
6        0.4915   0.6304       0.4028     0.7321     3.11
7        0.4496   0.5000       0.4085     0.6758     3.88
8        0.4553   0.5385       0.3944     0.6968     3.91
9        0.5692   0.6271       0.5211     0.7466     3.12
10       0.4615   0.5870       0.3803     0.7149     3.84
11       0.5811   0.5584       0.6056     0.7195     3.90
12       0.5620   0.6800       0.4789     0.6395     3.89
13       0.5294   0.5538       0.5070     0.7104     3.13
14       0.4580   0.5000       0.4225     0.6787     3.88
15       0.5839   0.6061       0.5634     0.7421     3.05
16       0.5455   0.6600       0.4648     0.6233     3.03
17       0.6230   0.7451       0.5352     0.6849     3.10
18       0.6508   0.7455       0.5775     0.6986     3.07
21       0.3243   0.4286       0.2609     0.6622     4.11
22       0.4651   0.5000       0.4348     0.6892     4.16
31       0.6271   0.7551       0.5362     0.6923     3.13
32       0.5739   0.7174       0.4783     0.6573     3.12
33       0.3486   0.4750       0.2754     0.5069     3.23
34       0.6452   0.7273       0.5797     0.6923     3.13
41       0.4000   0.4800       0.3429     0.5068     3.79
42       0.4242   0.7000       0.3043     0.6346     3.25
43       0.3256   0.3500       0.3043     0.4528     3.89
45       0.4959   0.5882       0.4286     0.5734     4.00
51       0.5378   0.6531       0.4571     0.6181     3.80
52       0.6232   0.6324       0.6143     0.6389     3.83
53       0.6142   0.6842       0.5571     0.6597     3.94
54       0.5469   0.6034       0.5000     0.5944     4.03
61       0.5000   0.5882       0.4348     0.6154     3.25
62       0.4286   0.4737       0.3913     0.5472     3.91
63       0.4762   0.5357       0.4286     0.5479     3.90
64       0.5082   0.5962       0.4429     0.5890     3.88
66       0.5156   0.5690       0.4714     0.5724     3.92
67       0.5344   0.5738       0.5000     0.5822     3.79
68       0.5039   0.5614       0.4571     0.5685     4.01
72       0.5072   0.5147       0.5000     0.5374     62.07
73       0.4706   0.4848       0.4571     0.5102     28.14
