
Variant-level average across 5 folds - Epoch 17
Overall Results:
Macro-F1: 0.6111
Macro-Precision: 0.6115
Macro-Recall: 0.6107
Accuracy: 0.6258

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8372   0.9310       0.7606     0.8489     3.02
2        0.6111   0.6027       0.6197     0.7346     3.00
3        0.7190   0.6707       0.7746     0.8037     3.05
4        0.7154   0.8462       0.6197     0.8402     3.11
5        0.3791   0.3537       0.4085     0.5662     3.83
6        0.6713   0.6761       0.6667     0.7902     3.11
7        0.3657   0.3077       0.4507     0.4932     3.88
8        0.1439   0.1471       0.1408     0.4615     3.91
9        0.6533   0.6203       0.6901     0.7647     3.12
10       0.5487   0.7381       0.4366     0.7692     3.84
11       0.6114   0.4836       0.8310     0.6606     3.90
12       0.4034   0.5000       0.3380     0.5170     3.89
13       0.6131   0.6364       0.5915     0.7602     3.13
14       0.4024   0.3469       0.4789     0.5430     3.88
15       0.7020   0.6625       0.7465     0.7964     3.05
16       0.7068   0.7581       0.6620     0.7329     3.03
17       0.7907   0.8793       0.7183     0.8151     3.10
18       0.7391   0.7612       0.7183     0.7534     3.07
21       0.5854   0.6667       0.5217     0.7703     4.11
22       0.1905   0.2105       0.1739     0.5405     4.16
31       0.7344   0.7966       0.6812     0.7622     3.13
32       0.7424   0.7778       0.7101     0.7622     3.12
33       0.1653   0.1923       0.1449     0.2986     3.23
34       0.6833   0.8039       0.5942     0.7343     3.13
41       0.2667   0.2500       0.2857     0.2466     3.79
42       0.1429   0.1579       0.1304     0.3077     3.25
43       0.4091   0.4286       0.3913     0.5094     3.89
45       0.4655   0.5870       0.3857     0.5664     4.00
51       0.6184   0.5732       0.6714     0.5972     3.80
52       0.5899   0.5942       0.5857     0.6042     3.83
53       0.3937   0.4386       0.3571     0.4653     3.94
54       0.7194   0.7246       0.7143     0.7273     4.03
61       0.5000   0.5238       0.4783     0.5769     3.25
62       0.3333   0.3200       0.3478     0.3962     3.91
63       0.4179   0.4375       0.4000     0.4658     3.90
64       0.6667   0.7500       0.6000     0.7123     3.88
66       0.5590   0.4945       0.6429     0.5103     3.92
67       0.4714   0.4714       0.4714     0.4932     3.79
68       0.5890   0.5658       0.6143     0.5890     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.4480   0.5091       0.4000     0.5306     28.14
