
Sample-level average across 5 folds - Epoch 35
Overall Results:
Macro-F1: 0.7070
Macro-Precision: 0.7088
Macro-Recall: 0.7056
Accuracy: 0.7192

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7914   0.8088       0.7746     0.7914     3.02
2        0.6857   0.6957       0.6761     0.7915     3.00
3        0.7600   0.7215       0.8028     0.8356     3.05
4        0.7619   0.8727       0.6761     0.8630     3.11
5        0.6277   0.6515       0.6056     0.7671     3.83
6        0.6809   0.6957       0.6667     0.7991     3.11
7        0.5816   0.5857       0.5775     0.7306     3.88
8        0.6000   0.6610       0.5493     0.7647     3.91
9        0.7194   0.7353       0.7042     0.8235     3.12
10       0.5714   0.6129       0.5352     0.7421     3.84
11       0.6184   0.5802       0.6620     0.7376     3.90
12       0.5902   0.7059       0.5070     0.6599     3.89
13       0.7234   0.7286       0.7183     0.8235     3.13
14       0.6809   0.6857       0.6761     0.7964     3.88
15       0.6993   0.6944       0.7042     0.8054     3.05
16       0.6935   0.8113       0.6056     0.7397     3.03
17       0.7424   0.8033       0.6901     0.7671     3.10
18       0.7680   0.8889       0.6761     0.8014     3.07
21       0.3333   0.4615       0.2609     0.6757     4.11
22       0.4762   0.5263       0.4348     0.7027     4.16
31       0.7879   0.8254       0.7536     0.8042     3.13
32       0.7786   0.8226       0.7391     0.7972     3.12
33       0.5167   0.6078       0.4493     0.5972     3.23
34       0.7874   0.8621       0.7246     0.8112     3.13
41       0.5135   0.4872       0.5429     0.5068     3.79
42       0.6222   0.6364       0.6087     0.6731     3.25
43       0.6038   0.5333       0.6957     0.6038     3.89
45       0.5547   0.5672       0.5429     0.5734     4.00
51       0.7286   0.7286       0.7286     0.7361     3.80
52       0.7801   0.7746       0.7857     0.7847     3.83
53       0.6809   0.6761       0.6857     0.6875     3.94
54       0.6993   0.6849       0.7143     0.6993     4.03
61       0.4615   0.5625       0.3913     0.5962     3.25
62       0.3846   0.3448       0.4348     0.3962     3.91
63       0.5890   0.5658       0.6143     0.5890     3.90
64       0.6714   0.6714       0.6714     0.6849     3.88
66       0.6194   0.5647       0.6857     0.5931     3.92
67       0.5755   0.5797       0.5714     0.5959     3.79
68       0.5926   0.6154       0.5714     0.6233     4.01
72       0.4110   0.3947       0.4286     0.4150     62.07
73       0.4218   0.4026       0.4429     0.4218     28.14
