
Variant-level average across 5 folds - Epoch 53
Overall Results:
Macro-F1: 0.6415
Macro-Precision: 0.6409
Macro-Recall: 0.6443
Accuracy: 0.6492

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8201   0.8382       0.8028     0.8201     3.02
2        0.7383   0.7051       0.7746     0.8152     3.00
3        0.7671   0.7467       0.7887     0.8447     3.05
4        0.7338   0.7500       0.7183     0.8311     3.11
5        0.4785   0.4239       0.5493     0.6119     3.83
6        0.6939   0.6800       0.7083     0.7991     3.11
7        0.4138   0.3495       0.5070     0.5342     3.88
8        0.2857   0.2651       0.3099     0.5023     3.91
9        0.7692   0.7059       0.8451     0.8371     3.12
10       0.5957   0.6000       0.5915     0.7421     3.84
11       0.6294   0.4921       0.8732     0.6697     3.90
12       0.3604   0.5000       0.2817     0.5170     3.89
13       0.7943   0.8000       0.7887     0.8688     3.13
14       0.4497   0.3878       0.5352     0.5792     3.88
15       0.7517   0.7179       0.7887     0.8326     3.05
16       0.7727   0.8361       0.7183     0.7945     3.03
17       0.7943   0.8000       0.7887     0.8014     3.10
18       0.7887   0.7887       0.7887     0.7945     3.07
21       0.5000   0.4800       0.5217     0.6757     4.11
22       0.1818   0.1562       0.2174     0.3919     4.16
31       0.8120   0.8438       0.7826     0.8252     3.13
32       0.7606   0.7397       0.7826     0.7622     3.12
33       0.2388   0.2462       0.2319     0.2917     3.23
34       0.7442   0.8000       0.6957     0.7692     3.13
41       0.2838   0.2692       0.3000     0.2740     3.79
42       0.2222   0.2273       0.2174     0.3269     3.25
43       0.4364   0.3750       0.5217     0.4151     3.89
45       0.4324   0.5854       0.3429     0.5594     4.00
51       0.6928   0.6386       0.7571     0.6736     3.80
52       0.6842   0.6341       0.7429     0.6667     3.83
53       0.5899   0.5942       0.5857     0.6042     3.94
54       0.7347   0.7013       0.7714     0.7273     4.03
61       0.4889   0.5000       0.4783     0.5577     3.25
62       0.2963   0.2581       0.3478     0.2830     3.91
63       0.5986   0.5714       0.6286     0.5959     3.90
64       0.5985   0.6119       0.5857     0.6233     3.88
66       0.5595   0.4796       0.6714     0.4897     3.92
67       0.5733   0.5375       0.6143     0.5616     3.79
68       0.6136   0.5094       0.7714     0.5342     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.5823   0.5227       0.6571     0.5510     28.14
