
Sample-level average across 5 folds - Epoch 15
Overall Results:
Macro-F1: 0.6967
Macro-Precision: 0.6991
Macro-Recall: 0.6952
Accuracy: 0.7100

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7576   0.8197       0.7042     0.7698     3.02
2        0.6434   0.6389       0.6479     0.7583     3.00
3        0.6993   0.6944       0.7042     0.8037     3.05
4        0.6977   0.7759       0.6338     0.8219     3.11
5        0.6241   0.6286       0.6197     0.7580     3.83
6        0.6573   0.6620       0.6528     0.7812     3.11
7        0.5109   0.5303       0.4930     0.6941     3.88
8        0.6412   0.7000       0.5915     0.7873     3.91
9        0.6818   0.7377       0.6338     0.8100     3.12
10       0.5755   0.5882       0.5634     0.7330     3.84
11       0.6667   0.6329       0.7042     0.7738     3.90
12       0.6154   0.7826       0.5070     0.6939     3.89
13       0.7376   0.7429       0.7324     0.8326     3.13
14       0.6429   0.6522       0.6338     0.7738     3.88
15       0.6897   0.6757       0.7042     0.7964     3.05
16       0.7619   0.8727       0.6761     0.7945     3.03
17       0.6923   0.7627       0.6338     0.7260     3.10
18       0.7669   0.8226       0.7183     0.7877     3.07
21       0.4211   0.5333       0.3478     0.7027     4.11
22       0.5600   0.5185       0.6087     0.7027     4.16
31       0.7344   0.7966       0.6812     0.7622     3.13
32       0.7287   0.7833       0.6812     0.7552     3.12
33       0.4882   0.5345       0.4493     0.5486     3.23
34       0.7328   0.7742       0.6957     0.7552     3.13
41       0.5205   0.5000       0.5429     0.5205     3.79
42       0.5957   0.5833       0.6087     0.6346     3.25
43       0.5490   0.5000       0.6087     0.5660     3.89
45       0.5333   0.5538       0.5143     0.5594     4.00
51       0.7083   0.6892       0.7286     0.7083     3.80
52       0.6562   0.7241       0.6000     0.6944     3.83
53       0.6357   0.6949       0.5857     0.6736     3.94
54       0.7101   0.7206       0.7000     0.7203     4.03
61       0.5116   0.5500       0.4783     0.5962     3.25
62       0.5000   0.4800       0.5217     0.5472     3.91
63       0.5755   0.5797       0.5714     0.5959     3.90
64       0.6571   0.6571       0.6571     0.6712     3.88
66       0.5906   0.5570       0.6286     0.5793     3.92
67       0.6479   0.6389       0.6571     0.6575     3.79
68       0.5793   0.5600       0.6000     0.5822     4.01
72       0.4000   0.4000       0.4000     0.4286     62.07
73       0.4615   0.4521       0.4714     0.4762     28.14
