
Variant-level average across 5 folds - Epoch 68
Overall Results:
Macro-F1: 0.6487
Macro-Precision: 0.6488
Macro-Recall: 0.6534
Accuracy: 0.6544

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8613   0.8939       0.8310     0.8633     3.02
2        0.7660   0.7714       0.7606     0.8436     3.00
3        0.7871   0.7262       0.8592     0.8493     3.05
4        0.8201   0.8382       0.8028     0.8858     3.11
5        0.5287   0.4466       0.6479     0.6256     3.83
6        0.7947   0.7595       0.8333     0.8616     3.11
7        0.4751   0.3909       0.6056     0.5662     3.88
8        0.3514   0.3377       0.3662     0.5656     3.91
9        0.7403   0.6867       0.8028     0.8190     3.12
10       0.5915   0.5915       0.5915     0.7376     3.84
11       0.6263   0.4882       0.8732     0.6652     3.90
12       0.5161   0.6038       0.4507     0.5918     3.89
13       0.7451   0.6951       0.8028     0.8235     3.13
14       0.4920   0.3966       0.6479     0.5701     3.88
15       0.7143   0.6627       0.7746     0.8009     3.05
16       0.8271   0.8871       0.7746     0.8425     3.03
17       0.8369   0.8429       0.8310     0.8425     3.10
18       0.8088   0.8462       0.7746     0.8219     3.07
21       0.4490   0.4231       0.4783     0.6351     4.11
22       0.1509   0.1333       0.1739     0.3919     4.16
31       0.7737   0.7794       0.7681     0.7832     3.13
32       0.7534   0.7143       0.7971     0.7483     3.12
33       0.3803   0.3699       0.3913     0.3889     3.23
34       0.7176   0.7581       0.6812     0.7413     3.13
41       0.3804   0.3333       0.4429     0.3082     3.79
42       0.2222   0.1935       0.2609     0.1923     3.25
43       0.4231   0.3793       0.4783     0.4340     3.89
45       0.4038   0.6176       0.3000     0.5664     4.00
51       0.7018   0.5941       0.8571     0.6458     3.80
52       0.6438   0.6184       0.6714     0.6389     3.83
53       0.5350   0.4828       0.6000     0.4931     3.94
54       0.7448   0.7200       0.7714     0.7413     4.03
61       0.5306   0.5000       0.5652     0.5577     3.25
62       0.2400   0.2222       0.2609     0.2830     3.91
63       0.5590   0.4945       0.6429     0.5137     3.90
64       0.7448   0.7200       0.7714     0.7466     3.88
66       0.5904   0.5104       0.7000     0.5310     3.92
67       0.4684   0.4205       0.5286     0.4247     3.79
68       0.6258   0.5484       0.7286     0.5822     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.5033   0.4691       0.5429     0.4898     28.14
