
Variant-level average across 5 folds - Epoch 40
Overall Results:
Macro-F1: 0.6368
Macro-Precision: 0.6367
Macro-Recall: 0.6368
Accuracy: 0.6492

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8189   0.9286       0.7324     0.8345     3.02
2        0.6912   0.7231       0.6620     0.8009     3.00
3        0.7532   0.6988       0.8169     0.8265     3.05
4        0.7244   0.8214       0.6479     0.8402     3.11
5        0.4552   0.4459       0.4648     0.6393     3.83
6        0.6883   0.6463       0.7361     0.7857     3.11
7        0.4720   0.4222       0.5352     0.6119     3.88
8        0.2500   0.2615       0.2394     0.5385     3.91
9        0.6950   0.7000       0.6901     0.8054     3.12
10       0.5672   0.6032       0.5352     0.7376     3.84
11       0.6506   0.5684       0.7606     0.7376     3.90
12       0.4370   0.5417       0.3662     0.5442     3.89
13       0.6857   0.6957       0.6761     0.8009     3.13
14       0.5590   0.5000       0.6338     0.6787     3.88
15       0.7013   0.6506       0.7606     0.7919     3.05
16       0.7344   0.8246       0.6620     0.7671     3.03
17       0.8120   0.8710       0.7606     0.8288     3.10
18       0.7737   0.8030       0.7465     0.7877     3.07
21       0.3333   0.4615       0.2609     0.6757     4.11
22       0.1600   0.1481       0.1739     0.4324     4.16
31       0.7820   0.8125       0.7536     0.7972     3.13
32       0.7500   0.7612       0.7391     0.7622     3.12
33       0.2479   0.2885       0.2174     0.3681     3.23
34       0.7500   0.8136       0.6957     0.7762     3.13
41       0.2958   0.2917       0.3000     0.3151     3.79
42       0.0851   0.0833       0.0870     0.1731     3.25
43       0.2791   0.3000       0.2609     0.4151     3.89
45       0.5254   0.6458       0.4429     0.6084     4.00
51       0.6115   0.5517       0.6857     0.5764     3.80
52       0.7310   0.7067       0.7571     0.7292     3.83
53       0.5101   0.4810       0.5429     0.4931     3.94
54       0.7121   0.7581       0.6714     0.7343     4.03
61       0.3256   0.3500       0.3043     0.4423     3.25
62       0.3137   0.2857       0.3478     0.3396     3.91
63       0.5132   0.4756       0.5571     0.4932     3.90
64       0.7015   0.7344       0.6714     0.7260     3.88
66       0.4967   0.4578       0.5429     0.4690     3.92
67       0.4516   0.4118       0.5000     0.4178     3.79
68       0.5802   0.5109       0.6714     0.5342     4.01
72       0.0000   0.0000       0.0000     0.0068     62.07
73       0.4651   0.5085       0.4286     0.5306     28.14
