
Sample-level average across 5 folds - Epoch 47
Overall Results:
Macro-F1: 0.7186
Macro-Precision: 0.7185
Macro-Recall: 0.7187
Accuracy: 0.7283

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7879   0.8525       0.7324     0.7986     3.02
2        0.7260   0.7067       0.7465     0.8104     3.00
3        0.7248   0.6923       0.7606     0.8128     3.05
4        0.7794   0.8154       0.7465     0.8630     3.11
5        0.6174   0.5897       0.6479     0.7397     3.83
6        0.7027   0.6842       0.7222     0.8036     3.11
7        0.5035   0.5000       0.5070     0.6758     3.88
8        0.6143   0.6232       0.6056     0.7557     3.91
9        0.7941   0.8308       0.7606     0.8733     3.12
10       0.6294   0.6250       0.6338     0.7602     3.84
11       0.5897   0.5412       0.6479     0.7104     3.90
12       0.6393   0.7647       0.5493     0.7007     3.89
13       0.6906   0.7059       0.6761     0.8054     3.13
14       0.6879   0.6279       0.7606     0.7783     3.88
15       0.8138   0.7973       0.8310     0.8778     3.05
16       0.7538   0.8305       0.6901     0.7808     3.03
17       0.8058   0.8235       0.7887     0.8151     3.10
18       0.8286   0.8406       0.8169     0.8356     3.07
21       0.3721   0.4000       0.3478     0.6351     4.11
22       0.3922   0.3571       0.4348     0.5811     4.16
31       0.7424   0.7778       0.7101     0.7622     3.13
32       0.7727   0.8095       0.7391     0.7902     3.12
33       0.5286   0.5211       0.5362     0.5417     3.23
34       0.8058   0.8000       0.8116     0.8112     3.13
41       0.4932   0.4737       0.5143     0.4932     3.79
42       0.6667   0.6818       0.6522     0.7115     3.25
43       0.5926   0.5161       0.6957     0.5849     3.89
45       0.6015   0.6349       0.5714     0.6294     4.00
51       0.7234   0.7183       0.7286     0.7292     3.80
52       0.7273   0.7742       0.6857     0.7500     3.83
53       0.6338   0.6250       0.6429     0.6389     3.94
54       0.7429   0.7429       0.7429     0.7483     4.03
61       0.5714   0.6316       0.5217     0.6538     3.25
62       0.3913   0.3913       0.3913     0.4717     3.91
63       0.6429   0.6429       0.6429     0.6575     3.90
64       0.7299   0.7463       0.7143     0.7466     3.88
66       0.6623   0.6173       0.7143     0.6483     3.92
67       0.6528   0.6351       0.6714     0.6575     3.79
68       0.5833   0.5676       0.6000     0.5890     4.01
72       0.4895   0.4795       0.5000     0.5034     62.07
73       0.4932   0.4737       0.5143     0.4966     28.14
