
Sample-level average across 5 folds - Epoch 85
Overall Results:
Macro-F1: 0.7113
Macro-Precision: 0.7105
Macro-Recall: 0.7124
Accuracy: 0.7200

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7143   0.8182       0.6338     0.7410     3.02
2        0.6892   0.6623       0.7183     0.7820     3.00
3        0.7027   0.6753       0.7324     0.7991     3.05
4        0.6619   0.6765       0.6479     0.7854     3.11
5        0.7534   0.7333       0.7746     0.8356     3.83
6        0.7042   0.7143       0.6944     0.8125     3.11
7        0.7285   0.6875       0.7746     0.8128     3.88
8        0.7391   0.7612       0.7183     0.8371     3.91
9        0.6621   0.6486       0.6761     0.7783     3.12
10       0.7770   0.7941       0.7606     0.8597     3.84
11       0.6875   0.7719       0.6197     0.8190     3.90
12       0.7132   0.7931       0.6479     0.7483     3.89
13       0.6797   0.6341       0.7324     0.7783     3.13
14       0.7310   0.7162       0.7465     0.8235     3.88
15       0.7101   0.7313       0.6901     0.8190     3.05
16       0.7132   0.7931       0.6479     0.7466     3.03
17       0.7413   0.7361       0.7465     0.7466     3.10
18       0.7826   0.8060       0.7606     0.7945     3.07
21       0.4545   0.4762       0.4348     0.6757     4.11
22       0.5246   0.4211       0.6957     0.6081     4.16
31       0.7164   0.7385       0.6957     0.7343     3.13
32       0.6866   0.7077       0.6667     0.7063     3.12
33       0.5672   0.5846       0.5507     0.5972     3.23
34       0.7692   0.8197       0.7246     0.7902     3.13
41       0.5401   0.5522       0.5286     0.5685     3.79
42       0.5957   0.5833       0.6087     0.6346     3.25
43       0.5172   0.4286       0.6522     0.4717     3.89
45       0.5882   0.5422       0.6429     0.5594     4.00
51       0.6763   0.6812       0.6714     0.6875     3.80
52       0.6897   0.6667       0.7143     0.6875     3.83
53       0.6389   0.6216       0.6571     0.6389     3.94
54       0.6232   0.6324       0.6143     0.6364     4.03
61       0.5116   0.5500       0.4783     0.5962     3.25
62       0.5185   0.4516       0.6087     0.5094     3.91
63       0.6711   0.6220       0.7286     0.6575     3.90
64       0.6395   0.6104       0.6714     0.6370     3.88
66       0.5696   0.5114       0.6429     0.5310     3.92
67       0.6528   0.6351       0.6714     0.6575     3.79
68       0.6711   0.6329       0.7143     0.6644     4.01
72       0.4331   0.3908       0.4857     0.3946     62.07
73       0.5031   0.4409       0.5857     0.4490     28.14
