
Sample-level average across 5 folds - Epoch 52
Overall Results:
Macro-F1: 0.6964
Macro-Precision: 0.6956
Macro-Recall: 0.6973
Accuracy: 0.7056

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6772   0.7679       0.6056     0.7050     3.02
2        0.6714   0.6812       0.6620     0.7820     3.00
3        0.6364   0.5904       0.6901     0.7443     3.05
4        0.6906   0.7059       0.6761     0.8037     3.11
5        0.7237   0.6790       0.7746     0.8082     3.83
6        0.6345   0.6301       0.6389     0.7634     3.11
7        0.7105   0.6667       0.7606     0.7991     3.88
8        0.6423   0.6667       0.6197     0.7783     3.91
9        0.6389   0.6301       0.6479     0.7647     3.12
10       0.7114   0.6795       0.7465     0.8054     3.84
11       0.6832   0.6111       0.7746     0.7692     3.90
12       0.6515   0.7049       0.6056     0.6871     3.89
13       0.6887   0.6500       0.7324     0.7873     3.13
14       0.7662   0.7108       0.8310     0.8371     3.88
15       0.6522   0.6716       0.6338     0.7828     3.05
16       0.7121   0.7705       0.6620     0.7397     3.03
17       0.6719   0.7544       0.6056     0.7123     3.10
18       0.7087   0.8036       0.6338     0.7466     3.07
21       0.5217   0.5217       0.5217     0.7027     4.11
22       0.3830   0.3750       0.3913     0.6081     4.16
31       0.7042   0.6849       0.7246     0.7063     3.13
32       0.7000   0.6901       0.7101     0.7063     3.12
33       0.6575   0.6234       0.6957     0.6528     3.23
34       0.7737   0.7794       0.7681     0.7832     3.13
41       0.5401   0.5522       0.5286     0.5685     3.79
42       0.5217   0.5217       0.5217     0.5769     3.25
43       0.3529   0.3214       0.3913     0.3774     3.89
45       0.6577   0.6203       0.7000     0.6434     4.00
51       0.6571   0.6571       0.6571     0.6667     3.80
52       0.6667   0.6364       0.7000     0.6597     3.83
53       0.5899   0.5942       0.5857     0.6042     3.94
54       0.6216   0.5897       0.6571     0.6084     4.03
61       0.5283   0.4667       0.6087     0.5192     3.25
62       0.5763   0.4722       0.7391     0.5283     3.91
63       0.6490   0.6049       0.7000     0.6370     3.90
64       0.6753   0.6190       0.7429     0.6575     3.88
66       0.5417   0.5270       0.5571     0.5448     3.92
67       0.6438   0.6184       0.6714     0.6438     3.79
68       0.7075   0.6753       0.7429     0.7055     4.01
72       0.3443   0.4038       0.3000     0.4558     62.07
73       0.3721   0.4068       0.3429     0.4490     28.14
