
Variant-level average across 5 folds - Epoch 10
Overall Results:
Macro-F1: 0.6043
Macro-Precision: 0.6039
Macro-Recall: 0.6051
Accuracy: 0.6158

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6102   0.7660       0.5070     0.6691     3.02
2        0.6871   0.6087       0.7887     0.7583     3.00
3        0.7000   0.6292       0.7887     0.7808     3.05
4        0.6515   0.7049       0.6056     0.7900     3.11
5        0.4444   0.4146       0.4789     0.6119     3.83
6        0.6329   0.5814       0.6944     0.7411     3.11
7        0.3949   0.3605       0.4366     0.5662     3.88
8        0.1892   0.1818       0.1972     0.4570     3.91
9        0.5793   0.5676       0.5915     0.7240     3.12
10       0.5806   0.6792       0.5070     0.7647     3.84
11       0.6235   0.5354       0.7465     0.7104     3.90
12       0.3304   0.4318       0.2676     0.4762     3.89
13       0.6757   0.6494       0.7042     0.7828     3.13
14       0.4430   0.4231       0.4648     0.6244     3.88
15       0.7117   0.6304       0.8169     0.7873     3.05
16       0.6861   0.7121       0.6620     0.7055     3.03
17       0.5812   0.7391       0.4789     0.6644     3.10
18       0.6519   0.6875       0.6197     0.6781     3.07
21       0.4324   0.5714       0.3478     0.7162     4.11
22       0.2254   0.1667       0.3478     0.2568     4.16
31       0.7737   0.7794       0.7681     0.7832     3.13
32       0.8227   0.8056       0.8406     0.8252     3.12
33       0.2333   0.2745       0.2029     0.3611     3.23
34       0.6565   0.6935       0.6232     0.6853     3.13
41       0.3022   0.3043       0.3000     0.3356     3.79
42       0.4000   0.3704       0.4348     0.4231     3.25
43       0.1818   0.1562       0.2174     0.1509     3.89
45       0.4878   0.5660       0.4286     0.5594     4.00
51       0.6531   0.6234       0.6857     0.6458     3.80
52       0.7761   0.8125       0.7429     0.7917     3.83
53       0.6410   0.5814       0.7143     0.6111     3.94
54       0.6195   0.8140       0.5000     0.6993     4.03
61       0.1111   0.1538       0.0870     0.3846     3.25
62       0.4643   0.3939       0.5652     0.4340     3.91
63       0.6093   0.5679       0.6571     0.5959     3.90
64       0.5694   0.5541       0.5857     0.5753     3.88
66       0.3733   0.3500       0.4000     0.3517     3.92
67       0.3511   0.3770       0.3286     0.4178     3.79
68       0.5946   0.4783       0.7857     0.4863     4.01
72       0.0135   0.0128       0.0143     0.0068     62.07
73       0.5610   0.4894       0.6571     0.5102     28.14
