
Variant-level average across 5 folds - Epoch 35
Overall Results:
Macro-F1: 0.6313
Macro-Precision: 0.6318
Macro-Recall: 0.6310
Accuracy: 0.6453

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7970   0.8548       0.7465     0.8058     3.02
2        0.6980   0.6667       0.7324     0.7867     3.00
3        0.7568   0.7273       0.7887     0.8356     3.05
4        0.7176   0.7833       0.6620     0.8311     3.11
5        0.3597   0.3676       0.3521     0.5936     3.83
6        0.5931   0.5890       0.5972     0.7366     3.11
7        0.3354   0.3000       0.3803     0.5114     3.88
8        0.2519   0.2656       0.2394     0.5430     3.91
9        0.6294   0.6250       0.6338     0.7602     3.12
10       0.5179   0.7073       0.4085     0.7557     3.84
11       0.6316   0.5400       0.7606     0.7149     3.90
12       0.4132   0.5000       0.3521     0.5170     3.89
13       0.7482   0.7647       0.7324     0.8416     3.13
14       0.5256   0.4824       0.5775     0.6652     3.88
15       0.7832   0.7778       0.7887     0.8597     3.05
16       0.6720   0.7778       0.5915     0.7192     3.03
17       0.7368   0.7903       0.6901     0.7603     3.10
18       0.7121   0.7705       0.6620     0.7397     3.07
21       0.4211   0.5333       0.3478     0.7027     4.11
22       0.1270   0.1000       0.1739     0.2568     4.16
31       0.7597   0.8167       0.7101     0.7832     3.13
32       0.8148   0.8333       0.7971     0.8252     3.12
33       0.2063   0.2281       0.1884     0.3056     3.23
34       0.7344   0.7966       0.6812     0.7622     3.13
41       0.1630   0.1692       0.1571     0.2260     3.79
42       0.2727   0.2857       0.2609     0.3846     3.25
43       0.2128   0.2083       0.2174     0.3019     3.89
45       0.4000   0.5500       0.3143     0.5385     4.00
51       0.6471   0.6667       0.6286     0.6667     3.80
52       0.7259   0.7538       0.7000     0.7431     3.83
53       0.6479   0.6389       0.6571     0.6528     3.94
54       0.6935   0.7963       0.6143     0.7343     4.03
61       0.6154   0.7500       0.5217     0.7115     3.25
62       0.2553   0.2500       0.2609     0.3396     3.91
63       0.6486   0.6154       0.6857     0.6438     3.90
64       0.6383   0.6338       0.6429     0.6507     3.88
66       0.5276   0.4624       0.6143     0.4690     3.92
67       0.4308   0.4667       0.4000     0.4932     3.79
68       0.6180   0.5093       0.7857     0.5342     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.5621   0.5181       0.6143     0.5442     28.14
