
Variant-level average across 5 folds - Epoch 32
Overall Results:
Macro-F1: 0.6320
Macro-Precision: 0.6314
Macro-Recall: 0.6331
Accuracy: 0.6423

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8209   0.8730       0.7746     0.8273     3.02
2        0.7211   0.6974       0.7465     0.8057     3.00
3        0.7375   0.6629       0.8310     0.8082     3.05
4        0.7101   0.7313       0.6901     0.8174     3.11
5        0.4667   0.4430       0.4930     0.6347     3.83
6        0.6897   0.6849       0.6944     0.7991     3.11
7        0.3678   0.3107       0.4507     0.4977     3.88
8        0.2815   0.2969       0.2676     0.5611     3.91
9        0.6957   0.7164       0.6761     0.8100     3.12
10       0.5920   0.6852       0.5211     0.7692     3.84
11       0.6102   0.5094       0.7606     0.6878     3.90
12       0.4874   0.6042       0.4085     0.5850     3.89
13       0.7114   0.6795       0.7465     0.8054     3.13
14       0.4848   0.4255       0.5634     0.6154     3.88
15       0.7284   0.6484       0.8310     0.8009     3.05
16       0.7231   0.7966       0.6620     0.7534     3.03
17       0.7442   0.8276       0.6761     0.7740     3.10
18       0.7704   0.8125       0.7324     0.7877     3.07
21       0.3478   0.3478       0.3478     0.5946     4.11
22       0.2188   0.1707       0.3043     0.3243     4.16
31       0.7681   0.7681       0.7681     0.7762     3.13
32       0.7626   0.7571       0.7681     0.7692     3.12
33       0.2481   0.2667       0.2319     0.3264     3.23
34       0.7597   0.8167       0.7101     0.7832     3.13
41       0.2603   0.2500       0.2714     0.2603     3.79
42       0.1333   0.1364       0.1304     0.2500     3.25
43       0.3846   0.3448       0.4348     0.3962     3.89
45       0.3925   0.5676       0.3000     0.5455     4.00
51       0.6582   0.5909       0.7429     0.6250     3.80
52       0.7368   0.7778       0.7000     0.7569     3.83
53       0.5867   0.5500       0.6286     0.5694     3.94
54       0.7402   0.8246       0.6714     0.7692     4.03
61       0.4889   0.5000       0.4783     0.5577     3.25
62       0.2979   0.2917       0.3043     0.3774     3.91
63       0.6115   0.5517       0.6857     0.5822     3.90
64       0.6575   0.6316       0.6857     0.6575     3.88
66       0.5309   0.4674       0.6143     0.4759     3.92
67       0.4429   0.4429       0.4429     0.4658     3.79
68       0.5843   0.4815       0.7429     0.4932     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.4462   0.4833       0.4143     0.5102     28.14
