
Sample-level average across 5 folds - Epoch 37
Overall Results:
Macro-F1: 0.7130
Macro-Precision: 0.7138
Macro-Recall: 0.7123
Accuracy: 0.7239

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7463   0.7937       0.7042     0.7554     3.02
2        0.7034   0.6892       0.7183     0.7962     3.00
3        0.7733   0.7342       0.8169     0.8447     3.05
4        0.7407   0.7812       0.7042     0.8402     3.11
5        0.6571   0.6667       0.6479     0.7808     3.83
6        0.7273   0.7324       0.7222     0.8259     3.11
7        0.6216   0.5974       0.6479     0.7443     3.88
8        0.5303   0.5738       0.4930     0.7195     3.91
9        0.7826   0.8060       0.7606     0.8643     3.12
10       0.5857   0.5942       0.5775     0.7376     3.84
11       0.6275   0.5854       0.6761     0.7421     3.90
12       0.6230   0.7451       0.5352     0.6871     3.89
13       0.7552   0.7500       0.7606     0.8416     3.13
14       0.6582   0.5977       0.7324     0.7557     3.88
15       0.7092   0.7143       0.7042     0.8145     3.05
16       0.7442   0.8276       0.6761     0.7740     3.03
17       0.7576   0.8197       0.7042     0.7808     3.10
18       0.7556   0.7969       0.7183     0.7740     3.07
21       0.2857   0.4167       0.2174     0.6622     4.11
22       0.4103   0.5000       0.3478     0.6892     4.16
31       0.7669   0.7969       0.7391     0.7832     3.13
32       0.6984   0.7719       0.6377     0.7343     3.12
33       0.5481   0.5606       0.5362     0.5764     3.23
34       0.7704   0.7879       0.7536     0.7832     3.13
41       0.5065   0.4643       0.5571     0.4795     3.79
42       0.6341   0.7222       0.5652     0.7115     3.25
43       0.5283   0.4667       0.6087     0.5283     3.89
45       0.5333   0.5538       0.5143     0.5594     4.00
51       0.7286   0.7286       0.7286     0.7361     3.80
52       0.7794   0.8030       0.7571     0.7917     3.83
53       0.7068   0.7460       0.6714     0.7292     3.94
54       0.6906   0.6957       0.6857     0.6993     4.03
61       0.5455   0.5714       0.5217     0.6154     3.25
62       0.4167   0.4000       0.4348     0.4717     3.91
63       0.6571   0.6571       0.6571     0.6712     3.90
64       0.6812   0.6912       0.6714     0.6986     3.88
66       0.6027   0.5789       0.6286     0.6000     3.92
67       0.6486   0.6154       0.6857     0.6438     3.79
68       0.6434   0.6301       0.6571     0.6507     4.01
72       0.3913   0.3971       0.3857     0.4286     62.07
73       0.5256   0.4767       0.5857     0.4966     28.14
