
Sample-level average across 5 folds - Epoch 42
Overall Results:
Macro-F1: 0.7154
Macro-Precision: 0.7139
Macro-Recall: 0.7185
Accuracy: 0.7220

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8261   0.8507       0.8028     0.8273     3.02
2        0.7261   0.6628       0.8028     0.7962     3.00
3        0.7947   0.7500       0.8451     0.8584     3.05
4        0.7333   0.6962       0.7746     0.8174     3.11
5        0.6207   0.6081       0.6338     0.7489     3.83
6        0.6980   0.6753       0.7222     0.7991     3.11
7        0.5786   0.5227       0.6479     0.6941     3.88
8        0.5899   0.6029       0.5775     0.7421     3.91
9        0.7383   0.7051       0.7746     0.8235     3.12
10       0.6486   0.6234       0.6761     0.7647     3.84
11       0.6049   0.5385       0.6901     0.7104     3.90
12       0.6349   0.7273       0.5634     0.6871     3.89
13       0.7170   0.6477       0.8028     0.7964     3.13
14       0.6883   0.6386       0.7465     0.7828     3.88
15       0.7516   0.6860       0.8310     0.8235     3.05
16       0.8261   0.8507       0.8028     0.8356     3.03
17       0.7778   0.7671       0.7887     0.7808     3.10
18       0.8085   0.8143       0.8028     0.8151     3.07
21       0.5000   0.5882       0.4348     0.7297     4.11
22       0.3810   0.4211       0.3478     0.6486     4.16
31       0.7556   0.7727       0.7391     0.7692     3.13
32       0.7500   0.7200       0.7826     0.7483     3.12
33       0.5612   0.5571       0.5652     0.5764     3.23
34       0.7770   0.7714       0.7826     0.7832     3.13
41       0.5455   0.5000       0.6000     0.5205     3.79
42       0.6939   0.6538       0.7391     0.7115     3.25
43       0.6071   0.5152       0.7391     0.5849     3.89
45       0.5429   0.5429       0.5429     0.5524     4.00
51       0.7143   0.6548       0.7857     0.6944     3.80
52       0.7483   0.7143       0.7857     0.7431     3.83
53       0.6714   0.6714       0.6714     0.6806     3.94
54       0.6759   0.6533       0.7000     0.6713     4.03
61       0.6222   0.6364       0.6087     0.6731     3.25
62       0.5965   0.5000       0.7391     0.5660     3.91
63       0.6763   0.6812       0.6714     0.6918     3.90
64       0.6892   0.6538       0.7286     0.6849     3.88
66       0.6543   0.5761       0.7571     0.6138     3.92
67       0.6443   0.6076       0.6857     0.6370     3.79
68       0.6358   0.5926       0.6857     0.6233     4.01
72       0.4122   0.4426       0.3857     0.4762     62.07
73       0.4832   0.4557       0.5143     0.4762     28.14
