
Sample-level average across 5 folds - Epoch 66
Overall Results:
Macro-F1: 0.6267
Macro-Precision: 0.6277
Macro-Recall: 0.6260
Accuracy: 0.6420

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6504   0.7692       0.5634     0.6906     3.02
2        0.5655   0.5541       0.5775     0.7014     3.00
3        0.6119   0.6508       0.5775     0.7626     3.05
4        0.6260   0.6833       0.5775     0.7763     3.11
5        0.4892   0.5000       0.4789     0.6758     3.83
6        0.5693   0.6000       0.5417     0.7366     3.11
7        0.5517   0.5405       0.5634     0.7032     3.88
8        0.4882   0.5536       0.4366     0.7059     3.91
9        0.5606   0.6066       0.5211     0.7376     3.12
10       0.5132   0.4815       0.5493     0.6652     3.84
11       0.5101   0.4872       0.5352     0.6697     3.90
12       0.6032   0.6909       0.5352     0.6599     3.89
13       0.5915   0.5915       0.5915     0.7376     3.13
14       0.6752   0.6163       0.7465     0.7692     3.88
15       0.6301   0.6133       0.6479     0.7557     3.05
16       0.6718   0.7333       0.6197     0.7055     3.03
17       0.6047   0.6724       0.5493     0.6507     3.10
18       0.6917   0.7419       0.6479     0.7192     3.07
21       0.3750   0.3600       0.3913     0.5946     4.11
22       0.4444   0.3871       0.5217     0.5946     4.16
31       0.5781   0.6271       0.5362     0.6224     3.13
32       0.6286   0.6197       0.6377     0.6364     3.12
33       0.4394   0.4603       0.4203     0.4861     3.23
34       0.6718   0.7097       0.6377     0.6993     3.13
41       0.4062   0.4483       0.3714     0.4795     3.79
42       0.3500   0.4118       0.3043     0.5000     3.25
43       0.4444   0.4545       0.4348     0.5283     3.89
45       0.6309   0.5949       0.6714     0.6154     4.00
51       0.5942   0.6029       0.5857     0.6111     3.80
52       0.5630   0.5846       0.5429     0.5903     3.83
53       0.5672   0.5938       0.5429     0.5972     3.94
54       0.5385   0.5833       0.5000     0.5804     4.03
61       0.3111   0.3182       0.3043     0.4038     3.25
62       0.4912   0.4118       0.6087     0.4528     3.91
63       0.4965   0.4930       0.5000     0.5137     3.90
64       0.5180   0.5217       0.5143     0.5411     3.88
66       0.5430   0.5062       0.5857     0.5241     3.92
67       0.4964   0.5075       0.4857     0.5274     3.79
68       0.5333   0.5538       0.5143     0.5685     4.01
72       0.3885   0.3913       0.3857     0.4218     62.07
73       0.3946   0.3766       0.4143     0.3946     28.14
