
Sample-level average across 5 folds - Epoch 82
Overall Results:
Macro-F1: 0.6357
Macro-Precision: 0.6368
Macro-Recall: 0.6349
Accuracy: 0.6506

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7031   0.7895       0.6338     0.7266     3.02
2        0.5752   0.5366       0.6197     0.6919     3.00
3        0.5811   0.5584       0.6056     0.7169     3.05
4        0.6142   0.6964       0.5493     0.7763     3.11
5        0.5000   0.4932       0.5070     0.6712     3.83
6        0.5634   0.5714       0.5556     0.7232     3.11
7        0.5541   0.5325       0.5775     0.6986     3.88
8        0.5039   0.5714       0.4507     0.7149     3.91
9        0.6759   0.6622       0.6901     0.7873     3.12
10       0.5000   0.4691       0.5352     0.6561     3.84
11       0.5000   0.5231       0.4789     0.6923     3.90
12       0.6308   0.6949       0.5775     0.6735     3.89
13       0.5594   0.5556       0.5634     0.7149     3.13
14       0.6757   0.6494       0.7042     0.7828     3.88
15       0.5714   0.5526       0.5915     0.7149     3.05
16       0.6565   0.7167       0.6056     0.6918     3.03
17       0.6412   0.7000       0.5915     0.6781     3.10
18       0.7164   0.7619       0.6761     0.7397     3.07
21       0.3478   0.3478       0.3478     0.5946     4.11
22       0.3922   0.3571       0.4348     0.5811     4.16
31       0.6406   0.6949       0.5942     0.6783     3.13
32       0.6418   0.6615       0.6232     0.6643     3.12
33       0.4615   0.4918       0.4348     0.5139     3.23
34       0.6667   0.7167       0.6232     0.6993     3.13
41       0.4427   0.4754       0.4143     0.5000     3.79
42       0.3902   0.4444       0.3478     0.5192     3.25
43       0.5217   0.5217       0.5217     0.5849     3.89
45       0.5874   0.5753       0.6000     0.5874     4.00
51       0.6277   0.6418       0.6143     0.6458     3.80
52       0.5441   0.5606       0.5286     0.5694     3.83
53       0.5778   0.6000       0.5571     0.6042     3.94
54       0.5263   0.5556       0.5000     0.5594     4.03
61       0.4889   0.5000       0.4783     0.5577     3.25
62       0.4151   0.3667       0.4783     0.4151     3.91
63       0.5286   0.5286       0.5286     0.5479     3.90
64       0.5217   0.5294       0.5143     0.5479     3.88
66       0.5772   0.5443       0.6143     0.5655     3.92
67       0.5481   0.5692       0.5286     0.5822     3.79
68       0.5778   0.6000       0.5571     0.6096     4.01
72       0.3972   0.3944       0.4000     0.4218     62.07
73       0.3731   0.3906       0.3571     0.4286     28.14
