
Sample-level average across 5 folds - Epoch 40
Overall Results:
Macro-F1: 0.6172
Macro-Precision: 0.6262
Macro-Recall: 0.6160
Accuracy: 0.6433

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6250   0.8537       0.4930     0.6978     3.02
2        0.5079   0.5818       0.4507     0.7062     3.00
3        0.5312   0.5965       0.4789     0.7260     3.05
4        0.5470   0.6957       0.4507     0.7580     3.11
5        0.4662   0.5000       0.4366     0.6758     3.83
6        0.5124   0.6327       0.4306     0.7366     3.11
7        0.4848   0.5246       0.4507     0.6895     3.88
8        0.4706   0.5833       0.3944     0.7149     3.91
9        0.5574   0.6667       0.4789     0.7557     3.12
10       0.4672   0.4848       0.4507     0.6697     3.84
11       0.5109   0.5303       0.4930     0.6968     3.90
12       0.6116   0.7400       0.5211     0.6803     3.89
13       0.5077   0.5593       0.4648     0.7104     3.13
14       0.6014   0.5972       0.6056     0.7421     3.88
15       0.5077   0.5593       0.4648     0.7104     3.05
16       0.6218   0.7708       0.5211     0.6918     3.03
17       0.6500   0.7959       0.5493     0.7123     3.10
18       0.6218   0.7708       0.5211     0.6918     3.07
21       0.3256   0.3500       0.3043     0.6081     4.11
22       0.3396   0.3000       0.3913     0.5270     4.16
31       0.5854   0.6667       0.5217     0.6434     3.13
32       0.5968   0.6727       0.5362     0.6503     3.12
33       0.4655   0.5745       0.3913     0.5694     3.23
34       0.5565   0.6957       0.4638     0.6434     3.13
41       0.4603   0.5179       0.4143     0.5342     3.79
42       0.3529   0.5455       0.2609     0.5769     3.25
43       0.4103   0.5000       0.3478     0.5660     3.89
45       0.5075   0.5312       0.4857     0.5385     4.00
51       0.6202   0.6780       0.5714     0.6597     3.80
52       0.6119   0.6406       0.5857     0.6389     3.83
53       0.4724   0.5263       0.4286     0.5347     3.94
54       0.5630   0.5846       0.5429     0.5874     4.03
61       0.2927   0.3333       0.2609     0.4423     3.25
62       0.4815   0.4194       0.5652     0.4717     3.91
63       0.5481   0.5692       0.5286     0.5822     3.90
64       0.5180   0.5217       0.5143     0.5411     3.88
66       0.4638   0.4706       0.4571     0.4897     3.92
67       0.4480   0.5091       0.4000     0.5274     3.79
68       0.5000   0.5741       0.4429     0.5753     4.01
72       0.3676   0.3788       0.3571     0.4150     62.07
73       0.3741   0.3768       0.3714     0.4082     28.14
