
Sample-level average across 5 folds - Epoch 93
Overall Results:
Macro-F1: 0.6421
Macro-Precision: 0.6524
Macro-Recall: 0.6400
Accuracy: 0.6666

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6071   0.8293       0.4789     0.6835     3.02
2        0.5263   0.5645       0.4930     0.7014     3.00
3        0.5217   0.5373       0.5070     0.6986     3.05
4        0.5571   0.5652       0.5493     0.7169     3.11
5        0.6061   0.6557       0.5634     0.7626     3.83
6        0.5333   0.5714       0.5000     0.7188     3.11
7        0.6222   0.6562       0.5915     0.7671     3.88
8        0.5039   0.5714       0.4507     0.7149     3.91
9        0.5271   0.5862       0.4789     0.7240     3.12
10       0.6131   0.6364       0.5915     0.7602     3.84
11       0.5352   0.5352       0.5352     0.7014     3.90
12       0.5614   0.7442       0.4507     0.6599     3.89
13       0.5839   0.6061       0.5634     0.7421     3.13
14       0.5512   0.6250       0.4930     0.7421     3.88
15       0.5915   0.5915       0.5915     0.7376     3.05
16       0.6400   0.7407       0.5634     0.6918     3.03
17       0.6299   0.7143       0.5634     0.6781     3.10
18       0.6341   0.7500       0.5493     0.6918     3.07
21       0.2069   0.5000       0.1304     0.6892     4.11
22       0.2727   0.2857       0.2609     0.5676     4.16
31       0.6667   0.6818       0.6522     0.6853     3.13
32       0.6154   0.6557       0.5797     0.6503     3.12
33       0.5691   0.6481       0.5072     0.6319     3.23
34       0.6457   0.7069       0.5942     0.6853     3.13
41       0.4211   0.5455       0.3429     0.5479     3.79
42       0.4444   0.6154       0.3478     0.6154     3.25
43       0.4000   0.4091       0.3913     0.4906     3.89
45       0.3962   0.5833       0.3000     0.5524     4.00
51       0.6154   0.6667       0.5714     0.6528     3.80
52       0.5738   0.6731       0.5000     0.6389     3.83
53       0.5846   0.6333       0.5429     0.6250     3.94
54       0.5620   0.6667       0.4857     0.6294     4.03
61       0.2353   0.3636       0.1739     0.5000     3.25
62       0.5116   0.5500       0.4783     0.6038     3.91
63       0.6014   0.5890       0.6143     0.6096     3.90
64       0.5857   0.5857       0.5857     0.6027     3.88
66       0.4776   0.5000       0.4571     0.5172     3.92
67       0.6389   0.6216       0.6571     0.6438     3.79
68       0.5538   0.6000       0.5143     0.6027     4.01
72       0.2772   0.4516       0.2000     0.5034     62.07
73       0.2545   0.3500       0.2000     0.4422     28.14
