
Multi-Variant CV on CWE121_Stack_Based_Buffer_Overflow epoch 31
Overall Results:
Macro-F1: 0.6678
Macro-Precision: 0.6671
Macro-Recall: 0.6717
Accuracy: 0.6742

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7792   0.7229       0.8451     0.7554     3.02
2        0.7625   0.6854       0.8592     0.8199     3.00
3        0.7322   0.5982       0.9437     0.7763     3.05
4        0.6115   0.5581       0.6761     0.7215     3.11
5        0.4487   0.4118       0.4930     0.6073     3.83
6        0.8077   0.7500       0.8750     0.8661     3.11
7        0.5500   0.4944       0.6197     0.6712     3.88
8        0.2521   0.3125       0.2113     0.5973     3.91
9        0.6567   0.6984       0.6197     0.7919     3.12
10       0.5500   0.6735       0.4648     0.7557     3.84
11       0.7143   0.5856       0.9155     0.7647     3.90
12       0.5909   0.6393       0.5493     0.6327     3.89
13       0.7066   0.6146       0.8310     0.7783     3.13
14       0.5854   0.5161       0.6761     0.6923     3.88
15       0.5987   0.5465       0.6620     0.7149     3.05
16       0.7273   0.7869       0.6761     0.7534     3.03
17       0.7333   0.6962       0.7746     0.7260     3.10
18       0.7153   0.7424       0.6901     0.7329     3.07
21       0.7143   0.7895       0.6522     0.8378     4.11
22       0.5455   0.5714       0.5217     0.7297     4.16
31       0.8250   0.7253       0.9565     0.8042     3.13
32       0.7188   0.7797       0.6667     0.7483     3.12
33       0.2364   0.3171       0.1884     0.4167     3.23
34       0.6286   0.6197       0.6377     0.6364     3.13
41       0.2297   0.2179       0.2429     0.2192     3.79
42       0.5581   0.6000       0.5217     0.6346     3.25
43       0.3077   0.3750       0.2609     0.4906     3.89
45       0.7383   0.6962       0.7857     0.7273     4.00
51       0.5974   0.5476       0.6571     0.5694     3.80
52       0.5867   0.5500       0.6286     0.5694     3.83
53       0.6550   0.5545       0.8000     0.5903     3.94
54       0.7403   0.6786       0.8143     0.7203     4.03
61       0.6190   0.6842       0.5652     0.6923     3.25
62       0.2273   0.2381       0.2174     0.3585     3.91
63       0.6875   0.6111       0.7857     0.6575     3.90
64       0.7702   0.6813       0.8857     0.7466     3.88
66       0.7453   0.6593       0.8571     0.7172     3.92
67       0.6369   0.5747       0.7143     0.6096     3.79
68       0.7368   0.6238       0.9000     0.6918     4.01
72       0.0462   0.0500       0.0429     0.1565     62.07
73       0.5037   0.5231       0.4857     0.5442     28.14
