
Multi-Variant CV on CWE121_Stack_Based_Buffer_Overflow epoch 44
Overall Results:
Macro-F1: 0.6930
Macro-Precision: 0.6980
Macro-Recall: 0.6905
Accuracy: 0.7087

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6992   0.8269       0.6056     0.7338     3.02
2        0.7051   0.6471       0.7746     0.7820     3.00
3        0.7571   0.7681       0.7465     0.8447     3.05
4        0.7218   0.7742       0.6761     0.8311     3.11
5        0.5571   0.5652       0.5493     0.7169     3.83
6        0.6621   0.6575       0.6667     0.7812     3.11
7        0.4567   0.5179       0.4085     0.6849     3.88
8        0.3636   0.3934       0.3380     0.6199     3.91
9        0.6040   0.5769       0.6338     0.7330     3.12
10       0.5873   0.6727       0.5211     0.7647     3.84
11       0.6951   0.6129       0.8028     0.7738     3.90
12       0.4800   0.5556       0.4225     0.5578     3.89
13       0.7385   0.8136       0.6761     0.8462     3.13
14       0.4531   0.5088       0.4085     0.6833     3.88
15       0.7770   0.7941       0.7606     0.8597     3.05
16       0.7463   0.7937       0.7042     0.7671     3.03
17       0.6720   0.7778       0.5915     0.7192     3.10
18       0.7737   0.8030       0.7465     0.7877     3.07
21       0.3333   0.3684       0.3043     0.6216     4.11
22       0.6829   0.7778       0.6087     0.8243     4.16
31       0.8485   0.8889       0.8116     0.8601     3.13
32       0.7879   0.8254       0.7536     0.8042     3.12
33       0.2718   0.4118       0.2029     0.4792     3.23
34       0.7040   0.7857       0.6377     0.7413     3.13
41       0.3537   0.3377       0.3714     0.3493     3.79
42       0.4103   0.5000       0.3478     0.5577     3.25
43       0.4865   0.6429       0.3913     0.6415     3.89
45       0.8025   0.7241       0.9000     0.7832     4.00
51       0.7448   0.7200       0.7714     0.7431     3.80
52       0.7727   0.8226       0.7286     0.7917     3.83
53       0.7500   0.7297       0.7714     0.7500     3.94
54       0.6667   0.7736       0.5857     0.7133     4.03
61       0.4865   0.6429       0.3913     0.6346     3.25
62       0.4255   0.4167       0.4348     0.4906     3.91
63       0.7153   0.7313       0.7000     0.7329     3.90
64       0.7188   0.7931       0.6571     0.7534     3.88
66       0.6040   0.5696       0.6429     0.5931     3.92
67       0.5299   0.6596       0.4429     0.6233     3.79
68       0.7974   0.7349       0.8714     0.7877     4.01
72       0.0150   0.0159       0.0143     0.1088     62.07
73       0.2887   0.5185       0.2000     0.5306     28.14
