
Variant-level average across 5 folds - Epoch 29
Overall Results:
Macro-F1: 0.6378
Macro-Precision: 0.6372
Macro-Recall: 0.6388
Accuracy: 0.6483

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7914   0.8088       0.7746     0.7914     3.02
2        0.8345   0.8529       0.8169     0.8910     3.00
3        0.7532   0.6988       0.8169     0.8265     3.05
4        0.7194   0.7353       0.7042     0.8219     3.11
5        0.5153   0.4565       0.5915     0.6393     3.83
6        0.7639   0.7639       0.7639     0.8482     3.11
7        0.4096   0.3579       0.4789     0.5525     3.88
8        0.2345   0.2297       0.2394     0.4977     3.91
9        0.7704   0.8125       0.7324     0.8597     3.12
10       0.5882   0.6154       0.5634     0.7466     3.84
11       0.5542   0.4842       0.6479     0.6652     3.90
12       0.4952   0.7647       0.3662     0.6395     3.89
13       0.7361   0.7260       0.7465     0.8281     3.13
14       0.4706   0.4040       0.5634     0.5928     3.88
15       0.5857   0.5942       0.5775     0.7376     3.05
16       0.7680   0.8889       0.6761     0.8014     3.03
17       0.7328   0.8000       0.6761     0.7603     3.10
18       0.8095   0.9273       0.7183     0.8356     3.07
21       0.5500   0.6471       0.4783     0.7568     4.11
22       0.0357   0.0303       0.0435     0.2703     4.16
31       0.7391   0.7391       0.7391     0.7483     3.13
32       0.6400   0.7143       0.5797     0.6853     3.12
33       0.2941   0.2985       0.2899     0.3333     3.23
34       0.7068   0.7344       0.6812     0.7273     3.13
41       0.2895   0.2683       0.3143     0.2603     3.79
42       0.2917   0.2800       0.3043     0.3462     3.25
43       0.3158   0.2647       0.3913     0.2642     3.89
45       0.3299   0.5926       0.2286     0.5455     4.00
51       0.6582   0.5909       0.7429     0.6250     3.80
52       0.6000   0.6500       0.5571     0.6389     3.83
53       0.6957   0.6154       0.8000     0.6597     3.94
54       0.7042   0.6944       0.7143     0.7063     4.03
61       0.5714   0.5385       0.6087     0.5962     3.25
62       0.1538   0.1379       0.1739     0.1698     3.91
63       0.6258   0.5484       0.7286     0.5822     3.90
64       0.6993   0.6849       0.7143     0.7055     3.88
66       0.5694   0.5541       0.5857     0.5724     3.92
67       0.5405   0.5128       0.5714     0.5342     3.79
68       0.6000   0.5100       0.7286     0.5342     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.5677   0.5176       0.6286     0.5442     28.14
