
Variant-level average across 5 folds - Epoch 61
Overall Results:
Macro-F1: 0.6230
Macro-Precision: 0.6228
Macro-Recall: 0.6231
Accuracy: 0.6356

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8759   0.9091       0.8451     0.8777     3.02
2        0.6567   0.6984       0.6197     0.7820     3.00
3        0.6867   0.6000       0.8028     0.7626     3.05
4        0.6822   0.7586       0.6197     0.8128     3.11
5        0.4774   0.4405       0.5211     0.6301     3.83
6        0.7200   0.6923       0.7500     0.8125     3.11
7        0.3977   0.3400       0.4789     0.5297     3.88
8        0.0889   0.0938       0.0845     0.4434     3.91
9        0.7000   0.7101       0.6901     0.8100     3.12
10       0.5714   0.5797       0.5634     0.7285     3.84
11       0.6275   0.5854       0.6761     0.7421     3.90
12       0.4667   0.5714       0.3944     0.5646     3.89
13       0.6081   0.5844       0.6338     0.7376     3.13
14       0.4156   0.3855       0.4507     0.5928     3.88
15       0.5818   0.5106       0.6761     0.6878     3.05
16       0.7581   0.8868       0.6620     0.7945     3.03
17       0.8333   0.8219       0.8451     0.8356     3.10
18       0.7761   0.8254       0.7324     0.7945     3.07
21       0.6047   0.6500       0.5652     0.7703     4.11
22       0.1961   0.1786       0.2174     0.4459     4.16
31       0.7500   0.7200       0.7826     0.7483     3.13
32       0.7353   0.7463       0.7246     0.7483     3.12
33       0.2154   0.2295       0.2029     0.2917     3.23
34       0.7669   0.7969       0.7391     0.7832     3.13
41       0.3026   0.2805       0.3286     0.2740     3.79
42       0.1778   0.1818       0.1739     0.2885     3.25
43       0.3333   0.3200       0.3478     0.3962     3.89
45       0.4464   0.5952       0.3571     0.5664     4.00
51       0.6452   0.5882       0.7143     0.6181     3.80
52       0.6383   0.6338       0.6429     0.6458     3.83
53       0.4892   0.4928       0.4857     0.5069     3.94
54       0.7852   0.8154       0.7571     0.7972     4.03
61       0.4783   0.4783       0.4783     0.5385     3.25
62       0.0465   0.0500       0.0435     0.2264     3.91
63       0.4853   0.5000       0.4714     0.5205     3.90
64       0.6765   0.6970       0.6571     0.6986     3.88
66       0.4194   0.4815       0.3714     0.5034     3.92
67       0.5098   0.4699       0.5571     0.4863     3.79
68       0.6420   0.5652       0.7429     0.6027     4.01
72       0.0000   0.0000       0.0000     0.0136     62.07
73       0.4333   0.5200       0.3714     0.5374     28.14
