
Sample-level average across 5 folds - Epoch 78
Overall Results:
Macro-F1: 0.6985
Macro-Precision: 0.6989
Macro-Recall: 0.6982
Accuracy: 0.7095

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7360   0.8519       0.6479     0.7626     3.02
2        0.6933   0.6582       0.7324     0.7820     3.00
3        0.7134   0.6512       0.7887     0.7945     3.05
4        0.6912   0.7231       0.6620     0.8082     3.11
5        0.6250   0.6164       0.6338     0.7534     3.83
6        0.6714   0.6912       0.6528     0.7946     3.11
7        0.5942   0.6119       0.5775     0.7443     3.88
8        0.4724   0.5357       0.4225     0.6968     3.91
9        0.6486   0.6234       0.6761     0.7647     3.12
10       0.5455   0.5902       0.5070     0.7285     3.84
11       0.5772   0.5513       0.6056     0.7149     3.90
12       0.6613   0.7736       0.5775     0.7143     3.89
13       0.7692   0.7639       0.7746     0.8507     3.13
14       0.6853   0.6806       0.6901     0.7964     3.88
15       0.7222   0.7123       0.7324     0.8190     3.05
16       0.7536   0.7761       0.7324     0.7671     3.03
17       0.7206   0.7538       0.6901     0.7397     3.10
18       0.7538   0.8305       0.6901     0.7808     3.07
21       0.6829   0.7778       0.6087     0.8243     4.11
22       0.4815   0.4194       0.5652     0.6216     4.16
31       0.7556   0.7727       0.7391     0.7692     3.13
32       0.7552   0.7297       0.7826     0.7552     3.12
33       0.4127   0.4561       0.3768     0.4861     3.23
34       0.7692   0.7432       0.7971     0.7692     3.13
41       0.5070   0.5000       0.5143     0.5205     3.79
42       0.5217   0.5217       0.5217     0.5769     3.25
43       0.5283   0.4667       0.6087     0.5283     3.89
45       0.5248   0.5211       0.5286     0.5315     4.00
51       0.7413   0.7260       0.7571     0.7431     3.80
52       0.7324   0.7222       0.7429     0.7361     3.83
53       0.6618   0.6818       0.6429     0.6806     3.94
54       0.7413   0.7260       0.7571     0.7413     4.03
61       0.5455   0.5714       0.5217     0.6154     3.25
62       0.3673   0.3462       0.3913     0.4151     3.91
63       0.6014   0.5890       0.6143     0.6096     3.90
64       0.6618   0.6818       0.6429     0.6849     3.88
66       0.5612   0.5652       0.5571     0.5793     3.92
67       0.6338   0.6250       0.6429     0.6438     3.79
68       0.6486   0.6154       0.6857     0.6438     4.01
72       0.4526   0.4627       0.4429     0.4898     62.07
73       0.4626   0.4416       0.4857     0.4626     28.14
