
Sample-level average across 5 folds - Epoch 92
Overall Results:
Macro-F1: 0.7185
Macro-Precision: 0.7229
Macro-Recall: 0.7160
Accuracy: 0.7322

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7840   0.9074       0.6901     0.8058     3.02
2        0.7445   0.7727       0.7183     0.8341     3.00
3        0.7413   0.7361       0.7465     0.8311     3.05
4        0.7519   0.8065       0.7042     0.8493     3.11
5        0.6767   0.7258       0.6338     0.8037     3.83
6        0.6667   0.7143       0.6250     0.7991     3.11
7        0.5865   0.6290       0.5493     0.7489     3.88
8        0.5000   0.5849       0.4366     0.7195     3.91
9        0.7050   0.7206       0.6901     0.8145     3.12
10       0.5954   0.6500       0.5493     0.7602     3.84
11       0.6345   0.6216       0.6479     0.7602     3.90
12       0.5902   0.7059       0.5070     0.6599     3.89
13       0.8000   0.7838       0.8169     0.8688     3.13
14       0.6617   0.7097       0.6197     0.7964     3.88
15       0.7737   0.8030       0.7465     0.8597     3.05
16       0.7752   0.8621       0.7042     0.8014     3.03
17       0.8000   0.8116       0.7887     0.8082     3.10
18       0.7874   0.8929       0.7042     0.8151     3.07
21       0.6977   0.7500       0.6522     0.8243     4.11
22       0.5000   0.4800       0.5217     0.6757     4.16
31       0.7717   0.8448       0.7101     0.7972     3.13
32       0.7556   0.7727       0.7391     0.7692     3.12
33       0.4463   0.5192       0.3913     0.5347     3.23
34       0.7794   0.7910       0.7681     0.7902     3.13
41       0.4861   0.4730       0.5000     0.4932     3.79
42       0.5714   0.6316       0.5217     0.6538     3.25
43       0.5882   0.5357       0.6522     0.6038     3.89
45       0.4961   0.5424       0.4571     0.5455     4.00
51       0.7353   0.7576       0.7143     0.7500     3.80
52       0.6667   0.6620       0.6714     0.6736     3.83
53       0.6269   0.6562       0.6000     0.6528     3.94
54       0.6767   0.7143       0.6429     0.6993     4.03
61       0.5000   0.5882       0.4348     0.6154     3.25
62       0.3750   0.3600       0.3913     0.4340     3.91
63       0.6377   0.6471       0.6286     0.6575     3.90
64       0.7111   0.7385       0.6857     0.7329     3.88
66       0.5426   0.5932       0.5000     0.5931     3.92
67       0.6757   0.6410       0.7143     0.6712     3.79
68       0.6849   0.6579       0.7143     0.6849     4.01
72       0.3780   0.4211       0.3429     0.4626     62.07
73       0.5270   0.5000       0.5571     0.5238     28.14
