
Variant-level average across 5 folds - Epoch 32
Overall Results:
Macro-F1: 0.5848
Macro-Precision: 0.5845
Macro-Recall: 0.5854
Accuracy: 0.5970

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.8308   0.9153       0.7606     0.8417     3.02
2        0.4800   0.4557       0.5070     0.6303     3.00
3        0.6624   0.6047       0.7324     0.7580     3.05
4        0.6250   0.8537       0.4930     0.8082     3.11
5        0.3905   0.3367       0.4648     0.5297     3.83
6        0.6047   0.5200       0.7222     0.6964     3.11
7        0.3889   0.3211       0.4930     0.4977     3.88
8        0.0144   0.0147       0.0141     0.3801     3.91
9        0.4968   0.4535       0.5493     0.6425     3.12
10       0.5082   0.6078       0.4366     0.7285     3.84
11       0.6120   0.5000       0.7887     0.6787     3.90
12       0.4545   0.4918       0.4225     0.5102     3.89
13       0.5113   0.5484       0.4789     0.7059     3.13
14       0.4253   0.3592       0.5211     0.5475     3.88
15       0.7051   0.6471       0.7746     0.7919     3.05
16       0.5802   0.6333       0.5352     0.6233     3.03
17       0.8382   0.8769       0.8028     0.8493     3.10
18       0.5882   0.6154       0.5634     0.6164     3.07
21       0.6522   0.6522       0.6522     0.7838     4.11
22       0.3704   0.3226       0.4348     0.5405     4.16
31       0.6957   0.6957       0.6957     0.7063     3.13
32       0.7883   0.7941       0.7826     0.7972     3.12
33       0.2256   0.2344       0.2174     0.2847     3.23
34       0.6379   0.7872       0.5362     0.7063     3.13
41       0.2069   0.2000       0.2143     0.2123     3.79
42       0.0889   0.0909       0.0870     0.2115     3.25
43       0.4783   0.4783       0.4783     0.5472     3.89
45       0.5120   0.5818       0.4571     0.5734     4.00
51       0.5789   0.5366       0.6286     0.5556     3.80
52       0.6497   0.5862       0.7286     0.6181     3.83
53       0.4306   0.4189       0.4429     0.4306     3.94
54       0.7714   0.7714       0.7714     0.7762     4.03
61       0.4103   0.5000       0.3478     0.5577     3.25
62       0.3556   0.3636       0.3478     0.4528     3.91
63       0.4324   0.4103       0.4571     0.4247     3.90
64       0.7344   0.8103       0.6714     0.7671     3.88
66       0.4776   0.5000       0.4571     0.5172     3.92
67       0.4841   0.4368       0.5429     0.4452     3.79
68       0.5578   0.5325       0.5857     0.5548     4.01
72       0.0000   0.0000       0.0000     0.0068     62.07
73       0.3929   0.5238       0.3143     0.5374     28.14
