
Sample-level average across 5 folds - Epoch 3
Overall Results:
Macro-F1: 0.8546
Macro-Precision: 0.8539
Macro-Recall: 0.8629
Accuracy: 0.8558

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.9552   0.9143       1.0000     0.9583     2.03
2        0.9118   0.8611       0.9688     0.9444     2.06
3        0.9412   0.8889       1.0000     0.9643     2.05
4        0.9375   0.8824       1.0000     0.9586     2.08
5        0.8125   0.7358       0.9070     0.8705     2.95
6        0.8889   0.8148       0.9778     0.9241     2.08
7        0.8454   0.8367       0.8542     0.9013     2.92
8        0.7609   0.7447       0.7778     0.8440     3.18
9        0.9167   0.8627       0.9778     0.9448     2.07
10       0.7800   0.6842       0.9070     0.8417     2.96
11       0.7778   0.6667       0.9333     0.8298     3.18
12       0.6018   0.7727       0.4928     0.6667     3.07
13       0.9247   0.8776       0.9773     0.9514     2.10
14       0.8125   0.8125       0.8125     0.8816     2.93
15       0.9275   0.8649       1.0000     0.9554     2.04
16       0.9412   0.8889       1.0000     0.9444     2.04
17       0.9667   0.9667       0.9667     0.9697     2.24
18       0.9697   0.9412       1.0000     0.9722     2.06
21       0.8723   0.8367       0.9111     0.8841     2.32
22       0.8617   0.8265       0.9000     0.8744     2.63
31       0.9846   0.9697       1.0000     0.9861     2.04
32       0.9663   0.9556       0.9773     0.9674     2.43
33       0.7843   0.6897       0.9091     0.8333     2.88
34       0.9254   0.8857       0.9688     0.9306     2.01
41       0.8737   0.8300       0.9222     0.8571     1.85
42       0.8141   0.7043       0.9643     0.7716     1.70
43       0.7021   0.5690       0.9167     0.7407     2.90
45       0.8360   0.7980       0.8778     0.8155     1.96
51       0.9486   0.9765       0.9222     0.9464     1.85
52       0.9158   0.8700       0.9667     0.9048     1.86
53       0.8990   0.8241       0.9889     0.8810     1.98
54       0.8586   0.7870       0.9444     0.8333     2.10
61       0.8715   0.8211       0.9286     0.8580     1.72
62       0.6022   0.4912       0.7778     0.6574     2.90
63       0.8182   0.7105       0.9643     0.7778     2.48
64       0.7800   0.6724       0.9286     0.7284     2.49
66       0.7831   0.7048       0.8810     0.7469     2.49
67       0.8951   0.8649       0.9275     0.8889     2.01
68       0.8878   0.8208       0.9667     0.8690     1.96
72       0.6591   0.5918       0.7436     0.7436     59.42
73       0.5347   0.4355       0.6923     0.5983     26.30
83       0.7397   0.7297       0.7500     0.8241     2.82
84       0.6857   0.7059       0.6667     0.7963     2.80
