
Sample-level average across 5 folds - Epoch 27
Overall Results:
Macro-F1: 0.6848
Macro-Precision: 0.6971
Macro-Recall: 0.6813
Accuracy: 0.7063

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7939   0.8667       0.7324     0.8058     3.02
2        0.5891   0.6552       0.5352     0.7488     3.00
3        0.6418   0.6825       0.6056     0.7808     3.05
4        0.6667   0.7636       0.5915     0.8082     3.11
5        0.5440   0.6296       0.4789     0.7397     3.83
6        0.6406   0.7321       0.5694     0.7946     3.11
7        0.5455   0.5902       0.5070     0.7260     3.88
8        0.5042   0.6250       0.4225     0.7330     3.91
9        0.6818   0.7377       0.6338     0.8100     3.12
10       0.5802   0.6333       0.5352     0.7511     3.84
11       0.6232   0.6418       0.6056     0.7647     3.90
12       0.6271   0.7872       0.5211     0.7007     3.89
13       0.6567   0.6984       0.6197     0.7919     3.13
14       0.6667   0.6714       0.6620     0.7873     3.88
15       0.6142   0.6964       0.5493     0.7783     3.05
16       0.6441   0.8085       0.5352     0.7123     3.03
17       0.5714   0.7083       0.4789     0.6507     3.10
18       0.7538   0.8305       0.6901     0.7808     3.07
21       0.4706   0.7273       0.3478     0.7568     4.11
22       0.4889   0.5000       0.4783     0.6892     4.16
31       0.6261   0.7826       0.5217     0.6993     3.13
32       0.6875   0.7458       0.6377     0.7203     3.12
33       0.5333   0.6275       0.4638     0.6111     3.23
34       0.7317   0.8333       0.6522     0.7692     3.13
41       0.5263   0.5556       0.5000     0.5685     3.79
42       0.4211   0.5333       0.3478     0.5769     3.25
43       0.4651   0.5000       0.4348     0.5660     3.89
45       0.6131   0.6269       0.6000     0.6294     4.00
51       0.5983   0.7447       0.5000     0.6736     3.80
52       0.6357   0.6949       0.5857     0.6736     3.83
53       0.6970   0.7419       0.6571     0.7222     3.94
54       0.6260   0.6721       0.5857     0.6573     4.03
61       0.4324   0.5714       0.3478     0.5962     3.25
62       0.4000   0.3704       0.4348     0.4340     3.91
63       0.5469   0.6034       0.5000     0.6027     3.90
64       0.5909   0.6290       0.5571     0.6301     3.88
66       0.5522   0.5781       0.5286     0.5862     3.92
67       0.6154   0.6027       0.6286     0.6233     3.79
68       0.6087   0.6176       0.6000     0.6301     4.01
72       0.3670   0.5128       0.2857     0.5306     62.07
73       0.4262   0.5000       0.3714     0.5238     28.14
