
Variant-level average across 5 folds - Epoch 44
Overall Results:
Macro-F1: 0.5919
Macro-Precision: 0.5927
Macro-Recall: 0.5956
Accuracy: 0.5984

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7172   0.7027       0.7324     0.7050     3.02
2        0.6011   0.4911       0.7746     0.6540     3.00
3        0.6525   0.6571       0.6479     0.7763     3.05
4        0.5238   0.4536       0.6197     0.6347     3.11
5        0.3492   0.4000       0.3099     0.6256     3.83
6        0.4945   0.4091       0.6250     0.5893     3.11
7        0.4750   0.4270       0.5352     0.6164     3.88
8        0.1310   0.1134       0.1549     0.3394     3.91
9        0.5000   0.4128       0.6338     0.5928     3.12
10       0.5225   0.7250       0.4085     0.7602     3.84
11       0.6154   0.5045       0.7887     0.6833     3.90
12       0.3099   0.3099       0.3099     0.3333     3.89
13       0.7763   0.7284       0.8310     0.8462     3.13
14       0.5576   0.4894       0.6479     0.6697     3.88
15       0.7949   0.7294       0.8732     0.8552     3.05
16       0.6345   0.6216       0.6479     0.6370     3.03
17       0.6800   0.6456       0.7183     0.6712     3.10
18       0.6486   0.6234       0.6761     0.6438     3.07
21       0.4211   0.5333       0.3478     0.7027     4.11
22       0.3175   0.2500       0.4348     0.4189     4.16
31       0.7259   0.7424       0.7101     0.7413     3.13
32       0.8227   0.8056       0.8406     0.8252     3.12
33       0.2097   0.2364       0.1884     0.3194     3.23
34       0.5816   0.5694       0.5942     0.5874     3.13
41       0.2500   0.2576       0.2429     0.3014     3.79
42       0.5185   0.4516       0.6087     0.5000     3.25
43       0.2353   0.2143       0.2609     0.2642     3.89
45       0.5455   0.5342       0.5571     0.5455     4.00
51       0.6389   0.6216       0.6571     0.6389     3.80
52       0.7771   0.7011       0.8714     0.7569     3.83
53       0.6081   0.5769       0.6429     0.5972     3.94
54       0.6769   0.7333       0.6286     0.7063     4.03
61       0.4878   0.5556       0.4348     0.5962     3.25
62       0.5312   0.4146       0.7391     0.4340     3.91
63       0.5733   0.5375       0.6143     0.5616     3.90
64       0.6164   0.5921       0.6429     0.6164     3.88
66       0.4379   0.3737       0.5286     0.3448     3.92
67       0.4795   0.4605       0.5000     0.4795     3.79
68       0.6448   0.5221       0.8429     0.5548     4.01
72       0.0136   0.0130       0.0143     0.0136     62.07
73       0.5255   0.5373       0.5143     0.5578     28.14
