
Variant-level average across 5 folds - Epoch 21
Overall Results:
Macro-F1: 0.7184
Macro-Precision: 0.7344
Macro-Recall: 0.7072
Accuracy: 0.8046

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7097   0.8462       0.6111     0.8302     1.81
2        0.6452   0.7692       0.5556     0.8750     1.74
3        0.7059   0.7500       0.6667     0.8864     1.74
4        0.7647   0.8125       0.7222     0.9091     1.74
5        0.2632   0.2500       0.2778     0.6818     2.90
6        0.5806   0.6923       0.5000     0.8523     1.76
7        0.6286   0.6471       0.6111     0.8523     3.09
8        0.3448   0.4545       0.2778     0.7841     3.09
9        0.7429   0.7647       0.7222     0.8977     1.74
10       0.3871   0.4615       0.3333     0.7841     2.88
11       0.3077   0.2857       0.3333     0.6932     3.06
12       0.2353   0.2500       0.2222     0.5094     2.92
13       0.8649   0.8421       0.8889     0.9432     1.74
14       0.5500   0.5000       0.6111     0.7955     3.09
15       0.8824   0.9375       0.8333     0.9545     1.76
16       0.7742   0.9231       0.6667     0.8679     1.81
17       0.6875   0.7857       0.6111     0.8113     1.85
18       0.8000   0.8235       0.7778     0.8679     1.83
43       0.2500   0.4286       0.1765     0.6471     2.47
62       0.1935   0.2143       0.1765     0.5098     2.49
63       0.3846   0.5000       0.3125     0.6667     2.73
64       0.5385   0.7000       0.4375     0.7500     2.71
