
Variant-level average across 5 folds - Epoch 4
Overall Results:
Macro-F1: 0.4664
Macro-Precision: 0.4664
Macro-Recall: 0.4663
Accuracy: 0.4844

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.5238   0.6000       0.4648     0.5683     3.02
2        0.3960   0.3053       0.5634     0.4218     3.00
3        0.4354   0.4211       0.4507     0.6210     3.05
4        0.2143   0.2927       0.1690     0.5982     3.11
5        0.1745   0.1667       0.1831     0.4384     3.83
6        0.2577   0.2049       0.3472     0.3571     3.11
7        0.1585   0.1398       0.1831     0.3699     3.88
8        0.0567   0.0571       0.0563     0.3982     3.91
9        0.1444   0.1193       0.1831     0.3032     3.12
10       0.2198   0.5000       0.1408     0.6787     3.84
11       0.4719   0.3925       0.5915     0.5747     3.90
12       0.3134   0.3333       0.2958     0.3741     3.89
13       0.5077   0.5593       0.4648     0.7104     3.13
14       0.2275   0.1979       0.2676     0.4163     3.88
15       0.6790   0.6044       0.7746     0.7647     3.05
16       0.2667   0.2812       0.2535     0.3219     3.03
17       0.5426   0.6034       0.4930     0.5959     3.10
18       0.2424   0.2623       0.2254     0.3151     3.07
21       0.6667   0.8125       0.5652     0.8243     4.11
22       0.2034   0.1667       0.2609     0.3649     4.16
31       0.5565   0.6957       0.4638     0.6434     3.13
32       0.8702   0.9194       0.8261     0.8811     3.12
33       0.0926   0.1282       0.0725     0.3194     3.23
34       0.2500   0.3256       0.2029     0.4126     3.13
41       0.0513   0.0638       0.0429     0.2397     3.79
42       0.4000   0.4091       0.3913     0.4808     3.25
43       0.0930   0.1000       0.0870     0.2642     3.89
45       0.3333   0.4737       0.2571     0.4965     4.00
51       0.3566   0.3898       0.3286     0.4236     3.80
52       0.6225   0.5802       0.6714     0.6042     3.83
53       0.3571   0.3571       0.3571     0.3750     3.94
54       0.5152   0.5484       0.4857     0.5524     4.03
61       0.4375   0.7778       0.3043     0.6538     3.25
62       0.6154   0.5517       0.6957     0.6226     3.91
63       0.4414   0.4267       0.4571     0.4452     3.90
64       0.5649   0.6066       0.5286     0.6096     3.88
66       0.3407   0.3538       0.3286     0.3862     3.92
67       0.3125   0.3448       0.2857     0.3973     3.79
68       0.5977   0.5000       0.7429     0.5205     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.5955   0.4907       0.7571     0.5102     28.14
