
Sample-level average across 5 folds - Epoch 40
Overall Results:
Macro-F1: 0.6246
Macro-Precision: 0.6254
Macro-Recall: 0.6240
Accuracy: 0.6395

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7132   0.7931       0.6479     0.7338     3.02
2        0.5442   0.5263       0.5634     0.6825     3.00
3        0.6164   0.5568       0.6901     0.7215     3.05
4        0.5857   0.5942       0.5775     0.7352     3.11
5        0.5205   0.5067       0.5352     0.6804     3.83
6        0.5532   0.5652       0.5417     0.7188     3.11
7        0.4823   0.4857       0.4789     0.6667     3.88
8        0.4306   0.4247       0.4366     0.6290     3.91
9        0.5294   0.5538       0.5070     0.7104     3.12
10       0.4521   0.4400       0.4648     0.6380     3.84
11       0.5325   0.4940       0.5775     0.6742     3.90
12       0.5669   0.6429       0.5070     0.6259     3.89
13       0.5401   0.5606       0.5211     0.7149     3.13
14       0.6533   0.6203       0.6901     0.7647     3.88
15       0.6267   0.5949       0.6620     0.7466     3.05
16       0.5738   0.6863       0.4930     0.6438     3.03
17       0.6032   0.6909       0.5352     0.6575     3.10
18       0.6240   0.7222       0.5493     0.6781     3.07
21       0.3830   0.3750       0.3913     0.6081     4.11
22       0.4815   0.4194       0.5652     0.6216     4.16
31       0.6000   0.7059       0.5217     0.6643     3.13
32       0.6154   0.6557       0.5797     0.6503     3.12
33       0.4194   0.4727       0.3768     0.5000     3.23
34       0.6202   0.6667       0.5797     0.6573     3.13
41       0.4681   0.4648       0.4714     0.4863     3.79
42       0.4167   0.4000       0.4348     0.4615     3.25
43       0.4783   0.4783       0.4783     0.5472     3.89
45       0.4194   0.4815       0.3714     0.4965     4.00
51       0.6525   0.6479       0.6571     0.6597     3.80
52       0.6069   0.5867       0.6286     0.6042     3.83
53       0.5278   0.5135       0.5429     0.5278     3.94
54       0.6309   0.5949       0.6714     0.6154     4.03
61       0.4615   0.5625       0.3913     0.5962     3.25
62       0.4255   0.4167       0.4348     0.4906     3.91
63       0.6061   0.6452       0.5714     0.6438     3.90
64       0.5735   0.5909       0.5571     0.6027     3.88
66       0.5857   0.5857       0.5857     0.6000     3.92
67       0.5985   0.6119       0.5857     0.6233     3.79
68       0.5442   0.5195       0.5714     0.5411     4.01
72       0.3259   0.3385       0.3143     0.3810     62.07
73       0.5135   0.4872       0.5429     0.5102     28.14
