
Sample-level average across 5 folds - Epoch 9
Overall Results:
Macro-F1: 0.6017
Macro-Precision: 0.6079
Macro-Recall: 0.6008
Accuracy: 0.6266

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.6102   0.7660       0.5070     0.6691     3.02
2        0.4853   0.5077       0.4648     0.6682     3.00
3        0.4865   0.4675       0.5070     0.6530     3.05
4        0.5109   0.5303       0.4930     0.6941     3.11
5        0.4885   0.5333       0.4507     0.6941     3.83
6        0.5113   0.5574       0.4722     0.7098     3.11
7        0.4375   0.4912       0.3944     0.6712     3.88
8        0.5255   0.5455       0.5070     0.7059     3.91
9        0.4776   0.5079       0.4507     0.6833     3.12
10       0.3577   0.4231       0.3099     0.6425     3.84
11       0.5373   0.5714       0.5070     0.7195     3.90
12       0.5120   0.5926       0.4507     0.5850     3.89
13       0.5152   0.5574       0.4789     0.7104     3.13
14       0.5079   0.5818       0.4507     0.7195     3.88
15       0.5915   0.5915       0.5915     0.7376     3.05
16       0.5172   0.6667       0.4225     0.6164     3.03
17       0.4959   0.6000       0.4225     0.5822     3.10
18       0.6047   0.6724       0.5493     0.6507     3.07
21       0.5306   0.5000       0.5652     0.6892     4.11
22       0.4314   0.3929       0.4783     0.6081     4.16
31       0.5289   0.6154       0.4638     0.6014     3.13
32       0.6080   0.6786       0.5507     0.6573     3.12
33       0.4034   0.4800       0.3478     0.5069     3.23
34       0.5669   0.6207       0.5217     0.6154     3.13
41       0.3902   0.4528       0.3429     0.4863     3.79
42       0.4651   0.5000       0.4348     0.5577     3.25
43       0.4082   0.3846       0.4348     0.4528     3.89
45       0.4160   0.4727       0.3714     0.4895     4.00
51       0.4961   0.5424       0.4571     0.5486     3.80
52       0.5496   0.5902       0.5143     0.5903     3.83
53       0.4480   0.5091       0.4000     0.5208     3.94
54       0.5426   0.5932       0.5000     0.5874     4.03
61       0.3030   0.5000       0.2174     0.5577     3.25
62       0.4348   0.4348       0.4348     0.5094     3.91
63       0.5827   0.6491       0.5286     0.6370     3.90
64       0.5625   0.6207       0.5143     0.6164     3.88
66       0.4959   0.5882       0.4286     0.5793     3.92
67       0.4754   0.5577       0.4143     0.5616     3.79
68       0.5793   0.5600       0.6000     0.5822     4.01
72       0.3824   0.3939       0.3714     0.4286     62.07
73       0.4932   0.4737       0.5143     0.4966     28.14
