
Sample-level average across 5 folds - Epoch 14
Overall Results:
Macro-F1: 0.7037
Macro-Precision: 0.7081
Macro-Recall: 0.7013
Accuracy: 0.7183

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7820   0.8387       0.7324     0.7914     3.02
2        0.6906   0.7059       0.6761     0.7962     3.00
3        0.6944   0.6849       0.7042     0.7991     3.05
4        0.7463   0.7937       0.7042     0.8447     3.11
5        0.6074   0.6406       0.5775     0.7580     3.83
6        0.6715   0.7077       0.6389     0.7991     3.11
7        0.5113   0.5484       0.4789     0.7032     3.88
8        0.6119   0.6508       0.5775     0.7647     3.91
9        0.7111   0.7500       0.6761     0.8235     3.12
10       0.6000   0.6610       0.5493     0.7647     3.84
11       0.6410   0.5882       0.7042     0.7466     3.90
12       0.5789   0.7674       0.4648     0.6735     3.89
13       0.7324   0.7324       0.7324     0.8281     3.13
14       0.7248   0.6923       0.7606     0.8145     3.88
15       0.6986   0.6800       0.7183     0.8009     3.05
16       0.7049   0.8431       0.6056     0.7534     3.03
17       0.6875   0.7719       0.6197     0.7260     3.10
18       0.7805   0.9231       0.6761     0.8151     3.07
21       0.4324   0.5714       0.3478     0.7162     4.11
22       0.4737   0.6000       0.3913     0.7297     4.16
31       0.7442   0.8000       0.6957     0.7692     3.13
32       0.6923   0.7377       0.6522     0.7203     3.12
33       0.4602   0.5909       0.3768     0.5764     3.23
34       0.7068   0.7344       0.6812     0.7273     3.13
41       0.5298   0.4938       0.5714     0.5137     3.79
42       0.4878   0.5556       0.4348     0.5962     3.25
43       0.5306   0.5000       0.5652     0.5660     3.89
45       0.5538   0.6000       0.5143     0.5944     4.00
51       0.6522   0.6618       0.6429     0.6667     3.80
52       0.7313   0.7656       0.7000     0.7500     3.83
53       0.6512   0.7119       0.6000     0.6875     3.94
54       0.6667   0.6923       0.6429     0.6853     4.03
61       0.5714   0.6316       0.5217     0.6538     3.25
62       0.6122   0.5769       0.6522     0.6415     3.91
63       0.6232   0.6324       0.6143     0.6438     3.90
64       0.6269   0.6562       0.6000     0.6575     3.88
66       0.6438   0.6184       0.6714     0.6414     3.92
67       0.5816   0.5775       0.5857     0.5959     3.79
68       0.5926   0.6154       0.5714     0.6233     4.01
72       0.4203   0.4265       0.4143     0.4558     62.07
73       0.4741   0.4923       0.4571     0.5170     28.14
