
Variant-level average across 5 folds - Epoch 22
Overall Results:
Macro-F1: 0.6222
Macro-Precision: 0.6241
Macro-Recall: 0.6213
Accuracy: 0.6392

Per-Variant Results:
Variant  F1       Precision    Recall     Accuracy   Avg Chunks
1        0.7213   0.8627       0.6197     0.7554     3.02
2        0.6452   0.5952       0.7042     0.7393     3.00
3        0.7556   0.7969       0.7183     0.8493     3.05
4        0.6560   0.7593       0.5775     0.8037     3.11
5        0.4088   0.4242       0.3944     0.6301     3.83
6        0.5772   0.5584       0.5972     0.7188     3.11
7        0.4051   0.3678       0.4507     0.5708     3.88
8        0.1529   0.1395       0.1690     0.3982     3.91
9        0.5752   0.5366       0.6197     0.7059     3.12
10       0.5299   0.6739       0.4366     0.7511     3.84
11       0.5952   0.5155       0.7042     0.6923     3.90
12       0.3009   0.4048       0.2394     0.4626     3.89
13       0.8000   0.8438       0.7606     0.8778     3.13
14       0.4474   0.4198       0.4789     0.6199     3.88
15       0.8378   0.8052       0.8732     0.8914     3.05
16       0.6080   0.7037       0.5352     0.6644     3.03
17       0.6885   0.8235       0.5915     0.7397     3.10
18       0.6906   0.7059       0.6761     0.7055     3.07
21       0.2162   0.2857       0.1739     0.6081     4.11
22       0.0930   0.1000       0.0870     0.4730     4.16
31       0.7360   0.8214       0.6667     0.7692     3.13
32       0.8201   0.8143       0.8261     0.8252     3.12
33       0.1930   0.2444       0.1594     0.3611     3.23
34       0.7097   0.8000       0.6377     0.7483     3.13
41       0.1692   0.1833       0.1571     0.2603     3.79
42       0.2083   0.2000       0.2174     0.2692     3.25
43       0.2553   0.2500       0.2609     0.3396     3.89
45       0.5079   0.5714       0.4571     0.5664     4.00
51       0.6619   0.6667       0.6571     0.6736     3.80
52       0.7801   0.7746       0.7857     0.7847     3.83
53       0.6269   0.6562       0.6000     0.6528     3.94
54       0.6609   0.8444       0.5429     0.7273     4.03
61       0.3902   0.4444       0.3478     0.5192     3.25
62       0.3922   0.3571       0.4348     0.4151     3.91
63       0.5909   0.6290       0.5571     0.6301     3.90
64       0.6250   0.6897       0.5714     0.6712     3.88
66       0.5031   0.4494       0.5714     0.4552     3.92
67       0.4962   0.5238       0.4714     0.5411     3.79
68       0.5935   0.5412       0.6571     0.5685     4.01
72       0.0000   0.0000       0.0000     0.0000     62.07
73       0.4960   0.5636       0.4429     0.5714     28.14
